,area_code,area_name,area_size,population,sex_ratio,mean_children,participation_rate,unemployment_rate,median_age,median_weekly_income,ALP,CLP,GRN,IND,KAP,LNP,LP,NP,PUP
0,137,Paterson,6547.1,127981.0,0.960793626475,1.97683619172,0.523,0.062,44.0,474.0,0.405077453814,0.0,0.0,0.0,0.0,0.0,0.594922546186,0.0,0.0
1,122,Hunter,19092.8,138388.0,1.00127259581,1.91949744067,0.605,0.051,36.0,534.0,0.538245706044,0.0,0.0,0.0,0.0,0.0,0.0,0.461754293956,0.0
2,115,Farrer,249551.7,135007.0,0.979168499135,2.05005849748,0.579,0.054,42.0,488.0,0.334961929817,0.0,0.0,0.0,0.0,0.0,0.665038070183,0.0,0.0
3,105,Blaxland,60.8,158408.0,0.989050728277,1.78352986124,0.497,0.094,33.0,385.0,0.624742362479,0.0,0.0,0.0,0.0,0.0,0.375257637521,0.0,0.0
4,125,Lyne,11683.7,127417.0,0.940291461725,2.03559769936,0.491,0.077,47.0,426.0,0.349098265285,0.0,0.0,0.0,0.0,0.0,0.0,0.650901734715,0.0
5,146,Watson,41.8,161615.0,1.00021039864,1.59562850683,0.535,0.083,34.0,411.0,0.575689795168,0.0,0.0,0.0,0.0,0.0,0.424310204832,0.0,0.0
6,143,Sydney,44.8,170696.0,1.06791447089,0.671639989742,0.66,0.057,33.0,888.0,0.653530012885,0.0,0.0,0.0,0.0,0.0,0.346469987115,0.0,0.0
7,121,Hume,34563.6,139138.0,0.992695921173,2.01122636679,0.6,0.047,41.0,530.0,0.386369182947,0.0,0.0,0.0,0.0,0.0,0.613630817053,0.0,0.0
8,126,Macarthur,737.8,140488.0,0.966407256033,1.80610909918,0.654,0.055,34.0,611.0,0.384961187985,0.0,0.0,0.0,0.0,0.0,0.615038812015,0.0,0.0
9,148,Werriwa,153.7,148307.0,0.966988514284,1.74995410992,0.606,0.071,33.0,540.0,0.527398627382,0.0,0.0,0.0,0.0,0.0,0.472601372618,0.0,0.0
10,138,Reid,56.2,166481.0,1.0084327611,1.28738133535,0.597,0.062,34.0,593.0,0.496232038917,0.0,0.0,0.0,0.0,0.0,0.503767961083,0.0,0.0
11,102,Barton,40.3,142069.0,0.972605212369,1.44889793877,0.595,0.057,37.0,558.0,0.500518103591,0.0,0.0,0.0,0.0,0.0,0.499481896409,0.0,0.0
12,116,Fowler,72.2,148964.0,0.965846706081,1.775480933,0.517,0.099,34.0,375.0,0.680614020735,0.0,0.0,0.0,0.0,0.0,0.319385979265,0.0,0.0
13,108,Charlton,575.6,131037.0,0.955104963968,1.84338881403,0.584,0.052,40.0,522.0,0.594975902641,0.0,0.0,0.0,0.0,0.0,0.405024097359,0.0,0.0
14,104,Berowra,745.7,131371.0,0.974049196832,1.66738325112,0.673,0.042,40.0,702.0,0.310045592915,0.0,0.0,0.0,0.0,0.0,0.689954407085,0.0,0.0
15,124,Lindsay,349.1,148983.0,0.969997090948,1.75828508507,0.649,0.056,34.0,615.0,0.470542119086,0.0,0.0,0.0,0.0,0.0,0.529457880914,0.0,0.0
17,130,Mitchell,98.4,137974.0,0.96192020021,1.63911082836,0.684,0.041,37.0,731.0,0.278068519018,0.0,0.0,0.0,0.0,0.0,0.721931480982,0.0,0.0
18,106,Bradfield,96.9,143088.0,0.916502591715,1.5923492709,0.614,0.048,40.0,775.0,0.289282253552,0.0,0.0,0.0,0.0,0.0,0.710717746448,0.0,0.0
19,134,Page,16189.1,132872.0,0.951159341547,2.04199134199,0.52,0.081,44.0,433.0,0.472810228659,0.0,0.0,0.0,0.0,0.0,0.0,0.527189771341,0.0
20,133,North Sydney,44.1,148091.0,0.935830065359,1.16689709658,0.668,0.04,37.0,992.0,0.343990551619,0.0,0.0,0.0,0.0,0.0,0.656009448381,0.0,0.0
21,132,Newcastle,309.7,132240.0,0.981657975184,1.53175084303,0.601,0.06,37.0,564.0,0.594260876787,0.0,0.0,0.0,0.0,0.0,0.405739123213,0.0,0.0
22,123,Kingsford Smith,57.7,157483.0,0.973767985161,1.18229924382,0.603,0.055,35.0,660.0,0.531795502605,0.0,0.0,0.0,0.0,0.0,0.468204497395,0.0,0.0
23,112,Cunningham,1186.9,144775.0,0.979044208109,1.65370063639,0.591,0.064,38.0,529.0,0.602764988845,0.0,0.0,0.0,0.0,0.0,0.397235011155,0.0,0.0
24,103,Bennelong,58.6,148707.0,0.948671244365,1.36353035852,0.618,0.057,37.0,624.0,0.423709500275,0.0,0.0,0.0,0.0,0.0,0.576290499725,0.0,0.0
25,129,McMahon,158.9,143452.0,0.977584471801,1.76056593506,0.58,0.069,35.0,470.0,0.559204889473,0.0,0.0,0.0,0.0,0.0,0.440795110527,0.0,0.0
27,113,Dobell,713.2,138042.0,0.935692851334,1.8612181674,0.571,0.071,39.0,502.0,0.495629618622,0.0,0.0,0.0,0.0,0.0,0.504370381378,0.0,0.0
